SampleIDX,obs_class,null_class,obs_u,obs_v,obs_x,obs_y,null_u,null_v,null_x,null_y,delta_y
P5-76,0,1,0.1579878706170921,0.8959584238971136,0.9097811080772796,0.7777691956312184,0.7130530699325135,0.7011100623010756,1.0,0.010752612445781169,0.7670165831854372
P5-75,2,0,0.4729840938461048,0.0783589834342611,0.4794309995361915,0.7909618340492468,0.9537261465967538,0.30067663244373866,0.9999999999999999,0.6111500497876304,0.17981178426161637
P5-74,2,1,0.46554702724195046,-0.0,0.46554702724195046,1.0,0.9101637181081946,0.41424872509093735,1.0,0.4561774659569228,0.5438225340430771
P5-72,2,1,0.2584800901965997,0.3974010911009678,0.47406706723445996,0.26575485181019964,0.7873456448629821,0.6165118291771009,1.0,0.15418100431550438,0.11157384749469526
P5-71,2,1,0.16871171562358633,0.42328318773791995,0.45566687394436417,0.5170849081728601,0.6890119955703119,0.7247499361574421,1.0,0.0321788765425003,0.48490603163035984
P5-70,2,0,-0.0,0.32686927508623737,0.32686927508623737,1.0,0.9522483198335717,0.3053246425923391,0.9999999999999999,0.6049400834966443,0.3950599165033557
P5-68,0,1,0.9910356833257358,-0.0,0.9910356833257358,1.0,0.782254322329438,0.622959208292896,1.0,0.14372099915226325,0.8562790008477368
P5-67,0,1,0.9808359299490679,0.004198826378355182,0.9808449172127102,0.9945494664640139,0.682877432949505,0.7305329640531593,1.0,0.0429131763183768,0.9516362901456371
P5-66,1,0,0.7887215300702917,0.4047064203291898,0.8864924921577672,0.39637488796807757,0.9378124247705977,0.34714241450144384,1.0,0.5486081845708257,-0.15223329660274815
P5-65,0,1,0.8237724222134909,0.21133212963123366,0.8504482774478143,0.680256203300734,0.8819661061866608,0.4713128340475566,0.9999999999999999,0.3751211282955229,0.3051350750052111
P5-63,0,1,0.9188975116699531,0.04095920288971078,0.9198099223505867,0.943283795702195,0.7361609960756127,0.6768064626294299,1.0,0.05345355563641449,0.8898302400657805
P5-62,0,1,0.8967609174530935,0.062109887910158354,0.8989092174672181,0.9119557098358658,0.6292798516335859,0.7771787878783183,1.0,0.13339974981148853,0.7785559600243773
P5-60,0,0,0.06605095915139243,0.8542230815038031,0.8567729000024872,0.9017450008695587,0.2871011195518559,0.9579002803799938,0.9999999999999998,0.629233697354288,0.27251130351527064
P5-58,2,1,0.6835245295578846,-0.0,0.6835245295578846,1.0,0.5025288820340156,0.8645604216719861,1.0,0.32961219998015606,0.670387800019844
P5-57,0,1,0.08612116013877955,0.7226950796433976,0.7278083761296144,0.8489844485796968,0.39711290796847787,0.91776976324393,1.0,0.48004853252223745,0.36893591605745935
P5-53,0,1,0.8520145302769109,0.2948374757723465,0.901586322502063,0.5758211273355006,0.8464957358443407,0.532395500729813,1.0,0.285167722252924,0.2906534050825766
P5-52,2,1,0.4546969613702726,-0.0,0.4546969613702726,1.0,0.6586345397308001,0.7524629845205656,0.9999999999999999,0.08453737797737261,0.9154626220226274
P5-51,0,1,0.9848647998182933,0.004531181934408457,0.9848752233307779,0.9941421001971411,0.7012378936803368,0.7129273570755752,1.0,0.01052433446438,0.9836177657327612
P5-49,2,0,0.44804652186320465,-0.0,0.44804652186320465,1.0,0.21088608763911948,0.9775106434409119,0.9999999999999999,0.7294603491390222,0.27053965086097775
